StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_102,Process_40,2022-02-17T08:53:47+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",2.0,Open the data visualization tool,Event_473,Press button in window
1,Recording_102,Process_40,2022-02-17T08:53:50+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Process advisor | Power Automate — Mozilla Firefox',firefox,Process advisor | Power Automate — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Process advisor | Power Automate — Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",3.0,Open the data visualization tool,Event_473,firefoxPress button in window
2,Recording_102,Process_40,2022-02-17T08:53:54+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox',,,,,,,Populate text field in window
3,Recording_102,Process_40,2022-02-17T08:53:55+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",5.0,Open the data visualization tool,Event_473,Send keys
4,Recording_102,Process_40,2022-02-17T08:53:59+00:00,Click UI element in window,Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox',firefox,o365 - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 39 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",6.0,Open the data visualization tool,Event_473,firefoxClick UI element in window
5,Recording_102,Process_40,2022-02-17T08:54:07+00:00,Select menu option in window,Menu Item 'App launcher' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Menu Item \\'App launcher\\'']\n""]",7.0,Open the data visualization tool,Event_473,firefoxSelect menu option in window
6,Recording_102,Process_40,2022-02-17T08:54:09+00:00,Click UI element in window,Hyperlink 'Power BI' 2 in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'Power BI\\' 2'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -4 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",8.0,Open the data visualization tool,Event_473,firefoxClick UI element in window
7,Recording_102,Process_40,2022-02-17T08:54:17+00:00,Click UI element in window,Edit 'Search' 2 in Window 'Power BI — Mozilla Firefox',firefox,Power BI — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Power BI — Mozilla Firefox\\'']['Edit \\'Search\\' 2'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 14 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",9.0, locate the scatter plot of speed,Event_474,firefoxClick UI element in window
8,Recording_102,Process_40,2022-02-17T08:54:24+00:00,Click UI element in window,List Item 'Project Data' 2 in Window 'Power BI — Mozilla Firefox',firefox,Power BI — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Power BI — Mozilla Firefox\\'']['List Item \\'Project Data\\' 2'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 39 OffsetY: 7 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",10.0, locate the scatter plot of speed,Event_474,firefoxClick UI element in window
9,Recording_102,Process_40,2022-02-17T08:54:34+00:00,Select menu option in window,Menu Item 'File' in Window 'Project Data - Power BI — Mozilla Firefox',firefox,Project Data - Power BI — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Project Data - Power BI — Mozilla Firefox\\'']['Menu Item \\'File\\'']\n""]",11.0,Export & Save scatter plot in pdf format,Event_475,firefoxSelect menu option in window
